gen,best_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
12,7.0,L,S,S,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,L,S,S,S,S,L,S,S,S,L,S,S,S,L,L,S,S,L,L,L,L,L,L,L,L,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,S,L,L,L,S,L,L,L,S
13,6.0,L,S,S,S,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,L,L,L,L,S,L,S,L,L,L,L,L,L,L,L,L,L,L,L,S,R,S,S,L,L,L,S,S,R,S,S,L,L,L,L,L,L,L,L,L,L,L,L
14,8.0,L,L,S,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,L,L,L,L,L
15,12.0,R,S,S,S,L,R,L,S,L,R,L,S,L,R,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,R,L,S,S,S,S,S,L,R,L,S,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S,L,L,L,S
16,13.0,R,R,S,R,R,R,R,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,L,R,S,R,R,R,S,S,R,R,S,R,S,R,S,S,S,R,S,R,S,S,S,S,L,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,S,S
17,8.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,S,L,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S
18,11.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,L,R,S,R,S,R,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S
19,11.0,R,R,R,R,R,R,L,R,R,R,S,R,R,R,S,R,S,R,S,S,R,R,S,R,R,R,S,S,L,R,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
20,14.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,S,R,R,S,S,R,R,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,S,S,S,S,L,S,S
21,13.0,R,R,S,R,R,R,L,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,S,R,R,S,S,R,R,S,S,L,R,S,S,S,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S
22,16.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,S,L,R,S,S,S,R,S,S,S,R,S,S,R,R,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
23,14.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,L,S,S,R,R,S,R,R,R,S,S,R,R,S,R,S,R,S,S,R,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
24,14.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,R,S,R,R,R,R,R,R,R,S,S,R,R,S,R,S,R,S,S,R,R,S,R,S,S,S,S,R,R,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
25,14.0,R,R,R,R,R,R,L,R,R,R,S,R,R,R,R,R,S,S,S,S,S,R,S,R,R,R,S,S,L,R,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26,15.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,S,R,S,R,S,S,S,S,L,L,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,S,S
27,18.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,S,R,S,S,L,R,S,S,S,S,S,S,L,R,S,S,L,R,S,S,L,R,S,S
28,19.0,R,R,R,R,R,R,L,R,R,R,S,R,R,R,R,R,R,R,S,S,R,R,S,R,R,R,S,S,L,R,L,R,R,R,S,S,R,R,S,R,S,S,S,S,R,R,S,S,L,S,S,S,L,L,L,L,S,S,S,S,L,R,L,S,L,S,S,S,L,R,S,S
29,18.0,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,L,R,S,S,R,R,S,R,R,R,S,S,L,R,L,S,R,R,S,S,R,R,S,S,L,R,S,S,L,R,S,S,L,S,S,S,L,L,L,L,L,S,S,S,L,R,L,S,L,S,S,S,L,L,L,S
