gen,best_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,4.0,L,L,L,L,L,S,L,S,L,L,L,L,L,L,S,S,L,L,L,L,L,L,S,L,L,S,L,S,S,S,S,S,L,S,L,S,S,S,S,S,L,L,S,L,L,L,S,S,L,S,L,L,S,S,L,S,L,S,L,S,S,S,S,S,L,L,S,S,S,S,S,S
1,3.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,S,L,L,L,S,L,S,L,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2,3.0,R,R,R,R,S,S,R,R,R,R,R,R,S,S,S,R,S,S,S,R,S,S,S,S,R,R,R,R,S,S,R,R,R,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,R,R,R,R,S,R,R,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S
3,8.0,L,L,R,L,L,L,R,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,R,R,R,R,R,R,R,R,L,L,L,S,L,L,S,S,L,L,L,S,L,L,L,S,S,S,S,S,R,R,S,S,S,S,S,S,L,R,S,S,S,S,S,S,L,L,S,S
4,13.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,L,R,S,S,S,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,S,S,L,L,S,S,S,R,S,S
5,7.0,R,L,L,L,R,R,R,R,R,R,L,L,R,R,R,R,L,R,L,R,R,R,R,R,R,R,S,S,R,R,R,R,R,R,S,S,R,R,R,R,L,R,S,S,R,R,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,R,R,S,R
6,8.0,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,S,R,S,S,S,S,R,R,R,R,S,R,S,R,R,R,R,R,R,R,R,R,S,R,S,S,S,S,S,S,S,R,S,R,S,R,S,R,R,R,R,R,R,R,R,R
7,16.0,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,R,S,S,L,S,S,S,L,L,S,S,L,L,L,S,L,L,L,L,S,S,S,S,S,R,S,S,S,S,S,S,R,R,S,S,R,R,S,S,R,R,R,S
8,7.0,L,R,L,S,L,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,R,R,S,R,R,R,S,L,R,L,S,L,R,L,S,L,L,L,S,L,L,L,L,S,S,S,S,S,R,S,S,S,S,S,S,R,R,S,S,S,R,S,S,L,L,S,S
9,10.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,L,R,S,S,S,R,S,S,S,S,S,S,S,R,S,S,S,L,S,S,S,R,S,S,L,L,S,S,L,R,S,S
10,13.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,S,R,R,R,S,S,R,R,S,R,R,R,S,S,R,R,S,R,L,R,S,S,S,R,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,R,S,S,L,L,S,S,S,R,S,S
11,14.0,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,R,S,R,R,R,S,R,R,R,S,R,R,R,S,R,R,R,S,S,S,R,S,R,S,R,S,S,S,R,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
