state,novel,learn_stable_from,inst_adopted_at,lag,fixed
21,S,0,1,1,False
57,S,0,1,1,False
3,L,1,2,1,False
7,L,0,2,2,False
53,L,1,2,1,False
69,S,1,2,1,False
27,S,2,3,1,False
10,L,4,5,1,True
43,L,6,7,1,False
42,L,8,9,1,False
45,S,10,11,1,False
68,L,13,14,1,False
19,S,15,16,1,False
3,S,16,17,1,False
44,L,16,17,1,False
30,L,19,22,3,True
38,L,22,23,1,True
64,L,33,36,3,False
24,L,37,38,1,False
28,L,37,38,1,False
40,L,39,40,1,False
23,L,41,42,1,False
70,L,47,48,1,True
